eid,doi,title,year,journal,authors,affiliations,authors_with_affiliations,abstract,author_keywords,index_keywords,doc_type,publication_stage,open_access,link,__source_file,label,note
2-s2.0-84955384221,10.1002/agr.21425,Product Differentiation by Package Size,2016,Agribusiness,"Shreay, S.; Chouinard, H.H.; McCluskey, J.J.","Gilead Sciences Incorporated, Foster City, CA, United States; School of Economic Sciences, Washington State University Pullman, Pullman, WA, United States; School of Economic Sciences, Washington State University Pullman, Pullman, WA, United States","Shreay, Sanatan, Gilead Sciences Incorporated, Foster City, CA, United States; Chouinard, Hayley H., School of Economic Sciences, Washington State University Pullman, Pullman, WA, United States; McCluskey, Jill J., School of Economic Sciences, Washington State University Pullman, Pullman, WA, United States","Quantity surcharges exist when a larger-sized package has a higher per-unit price than its smaller-sized counterpart. This article argues that quantity surcharges can be explained by the fact that different sizes of the same product are imperfect substitutes and thus are differentiated products. To test this hypothesis, we utilize grocery store scanner data to estimate a demand system and the associated cross-price elasticities. We focus our empirical investigation on canned tuna, which often exhibits quantity surcharges. A random coefficients logit demand approach is used to calculate elasticities. There is evidence to support the hypothesis that quantity surcharges in canned tuna are driven by firms catering to heterogeneous consumer preferences. © 2016 by Wiley Periodicals, Inc.",EconLit citations: L25; L66,,Article,Final,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84955384221&doi=10.1002%2Fagr.21425&partnerID=40&md5=82ddd79c81840d2e115eda4fc16030f0,scopus_export_Mar 1-2026_ca3bc159-43eb-4cb5-bfaf-84be71ab771b.csv,0,
2-s2.0-105017668670,10.14719/pst.7574,Perfectly imperfect: Embracing sub-optimal vegetables in Coimbatore farmer’s market,2025,Plant Science Today,"Sathya, K.N.; Uma, K.; Malarkodi, M.","Department of Agricultural and Rural Management, Tamil Nadu Agricultural University, Coimbatore, TN, India","Sathya, K. N., Department of Agricultural and Rural Management, Tamil Nadu Agricultural University, Coimbatore, TN, India; Uma, K., Department of Agricultural and Rural Management, Tamil Nadu Agricultural University, Coimbatore, TN, India; Malarkodi, Maruthan, Department of Agricultural and Rural Management, Tamil Nadu Agricultural University, Coimbatore, TN, India","India is one of the largest producers of vegetables globally, consistently ranking among the top countries in terms of production. However, post-harvest losses continue to be a major problem in the food sector because of poor handling, storage and transportation. Despite these losses, customers frequently ignore vegetables that are not at their best but still have nutritional value due to their aesthetic flaws. This is because consumers and retailers have high expectations in purchasing vegetables. The study explores factors that influence purchasing behavior and consumer preferences in sub-optimal vegetables. Using a well-structured questionnaire data was collected from 250 respondents in Coimbatore farmers market and analyzed by using factor and conjoint analysis. A total of four factors such as buying expectations, attitudes, benefits and price were identified on purchasing behaviour of sub-optimal vegetables. Combination of fresh, firm, without spots with a price discount of 50-75 % has a higher utility score and it is a highly preferred attribute of the consumer in buying sub-optimal vegetables. This study contributing to food waste reduction and supporting sustainable practices. © The Author(s). This is an open-access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution and reproduction in any medium, provided the original author and source are credited (https://creativecommons.org/ licenses/by/4.0/)",farmers market; food reduction; preference; purchasing behaviour; sub-optimal vegetables; sustainability,,Article,Final,All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105017668670&doi=10.14719%2Fpst.7574&partnerID=40&md5=fd0d54d80aa291eb67097916f696100c,scopus_export_Mar 1-2026_ca3bc159-43eb-4cb5-bfaf-84be71ab771b.csv,1,
2-s2.0-85042198731,10.1016/j.foodqual.2018.01.020,"Consumer in-store choice of suboptimal food to avoid food waste: The role of food category, communication and perception of quality dimensions",2018,Food Quality and Preference,"Aschemann-Witzel, J.; Giménez, A.; Ares, G.","MAPP Centre - Research on Value Creation in the Food Sector, Aarhus Universitet, Aarhus, Midtjylland, Denmark; Sensometrics & Consumer Science, Universidad de la República Facultad de Química, Montevideo, Uruguay","Aschemann-Witzel, Jessica, MAPP Centre - Research on Value Creation in the Food Sector, Aarhus Universitet, Aarhus, Midtjylland, Denmark; Giménez, Ana María, Sensometrics & Consumer Science, Universidad de la República Facultad de Química, Montevideo, Uruguay; Ares, Gastón, Sensometrics & Consumer Science, Universidad de la República Facultad de Química, Montevideo, Uruguay","Food not purchased due to its perceived sub-optimality is often wasted in the store, which contributes to the problem of food waste. One way to avoid this factor causing disposal of edible food is to offer such foods at reduced prices in the store. However, it remains under researched under which circumstances consumers most likely choose such food. The current study aimed to analyse choice likelihood in dependence of food category and communication of the offer, and to explore dimensions of perceived food quality and ascriptions to the buyer of sub-optimal products. An online between-subjects experimental study (4 × 2) with 746 Uruguayan consumers was conducted, comparing price reduced suboptimal food of four categories and communicating either economic saving or food waste avoidance. The foods were also assessed on a range of quality characteristics, and ascriptions matching a person buying either the optimal or the suboptimal food chosen. Findings show that suboptimal foods offered at reduced price were well accepted. However, likelihood of choice of suboptimal food depended on food category and was higher in the presence of communication on food waste avoidance, with differences in gender and socioeconomic status. Perceived quality and ascriptions to the buyers varied between food categories. It is concluded that communicating food waste avoidance can heighten acceptance and improve perceived quality, in particular for fresh produce. The findings allow deriving recommendations for approaches to improve value perception of suboptimal food, targeted to food category and consumer group. © 2018 Elsevier Ltd",Ascriptions; Consumer choice; Culture; Food waste; Price; Quality perception; Suboptimal food; Value,,Article,Final,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042198731&doi=10.1016%2Fj.foodqual.2018.01.020&partnerID=40&md5=b015b5d4ba2b99060e3ebc7c23276670,scopus_export_Mar 1-2026_ca3bc159-43eb-4cb5-bfaf-84be71ab771b.csv,1,
2-s2.0-105017872689,10.3389/fpls.2025.1661974,Optimization of fertilizer doses for increased fruit yield of dragon fruit adopting response surface methodology and Box-Behnken design,2025,Frontiers in Plant Science,"Karunakaran, G.; Ramachandran, S.; Venugopalan, R.; Rajendiran, R.; Arivalagan, M.; Srivastava, A.K.; Shilpa, K.G.; Ruchitha, T.","Division of Fruit Crops, ICAR - Indian Institute of Horticultural Research, Bengaluru, Bengaluru, KA, India; Division of Natural Resources, ICAR - Indian Institute of Horticultural Research, Bengaluru, Bengaluru, KA, India; Division of Social Sciences and Training, ICAR - Indian Institute of Horticultural Research, Bengaluru, Bengaluru, KA, India; ICAR-IIHR-Central Horticultural Experimental Station (CHES), Kodagu, India; Division of Basic Sciences, ICAR - Indian Institute of Horticultural Research, Bengaluru, Bengaluru, KA, India; ICAR – Central Citrus Research Institute, Nagpur, Nagpur, MH, India; ICAR - Indian Institute of Horticultural Research, Bengaluru, Bengaluru, KA, India; Division of Fruit Crops, ICAR - Indian Institute of Horticultural Research, Bengaluru, Bengaluru, KA, India","Karunakaran, Ganesan, Division of Fruit Crops, ICAR - Indian Institute of Horticultural Research, Bengaluru, Bengaluru, KA, India; Ramachandran, S., Division of Natural Resources, ICAR - Indian Institute of Horticultural Research, Bengaluru, Bengaluru, KA, India; Venugopalan, Rangarajan, Division of Social Sciences and Training, ICAR - Indian Institute of Horticultural Research, Bengaluru, Bengaluru, KA, India; Rajendiran, Selladurai, ICAR-IIHR-Central Horticultural Experimental Station (CHES), Kodagu, India; Arivalagan, Manivannan, Division of Basic Sciences, ICAR - Indian Institute of Horticultural Research, Bengaluru, Bengaluru, KA, India; Srivastava, Anoop Kumar, ICAR – Central Citrus Research Institute, Nagpur, Nagpur, MH, India; Shilpa, Kanakanahalli Gangadharappa, ICAR - Indian Institute of Horticultural Research, Bengaluru, Bengaluru, KA, India; Ruchitha, Thimmarayappa, Division of Fruit Crops, ICAR - Indian Institute of Horticultural Research, Bengaluru, Bengaluru, KA, India","Dragon fruit stands out all among fruits not only for its essential nutrients and antioxidant content but also for its aesthetic appeal. Its high demand in consumer preferences and marketing values makes it a sought-after fruit. However, its production is limited by poor agronomic practices, particularly suboptimal use of fertilizers. Therefore, this study aims to enhance dragon fruit production by improving fertilizer use efficiency, thereby increasing fruit yield without wastage of inorganic fertilizer. To achieve this objective, two dragon fruit pulp types, white and purple-red, were chosen as test crops, and a total of three independent variables with different graded levels of N:P:K combinations were utilized. Second-order rotatable design (SORD) particularly Box-Behnken design (BBD) was employed using response surface methodology (RSM) to fix the fertilizer treatment combinations, to study the yield response and optimization of fertilizer doses. The response outcomes of white pulp fruit yield per hectare (Y<inf>1</inf>) and purple red pulp fruit yield per hectare (Y<inf>2</inf>) of dragon fruit were predicted and verified for model adequacy. The results indicated that optimum fertilizer doses (N:P<inf>2</inf>O<inf>5</inf>:K<inf>2</inf>O) of 400:300:650 g/pillar/year and 700:400:350 g/pillar/year for white and purple red pulped dragon fruit, respectively, led to a desirable effect, resulting in maximum yields of 25.5t ha-1 and 35.6t ha-1 for white and purple red pulped dragon fruit, respectively. © © 2025 Karunakaran, Ramachandran, Venugopalan, Selladurai, Arivalagan, Srivastava, Shilpa and Ruchitha.",dragon fruit; fruit yield; nutrient acquisition; optimization of fertilizer; plant growth,,Article,Final,All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105017872689&doi=10.3389%2Ffpls.2025.1661974&partnerID=40&md5=8f2618fbbfdc269692e5828628f60613,scopus_export_Mar 1-2026_ca3bc159-43eb-4cb5-bfaf-84be71ab771b.csv,0,
2-s2.0-84924691863,10.1016/j.omega.2015.02.002,Integrated retail decisions with multiple selling periods and customer segments: Optimization and insights,2015,Omega (United Kingdom),"Ghoniem, A.; Maddah, B.","Department of Operations and Information Management, Isenberg School of Management, Amherst, MA, United States; Engineering Management Program, American University of Beirut, Beirut, Beirut Governorate, Lebanon","Ghoniem, Ahmed, Department of Operations and Information Management, Isenberg School of Management, Amherst, MA, United States; Maddah, Bacel S., Engineering Management Program, American University of Beirut, Beirut, Beirut Governorate, Lebanon","Integrating retail decisions on such aspects as assortment, pricing, and inventory greatly improves profitability. We examine a multi-period selling horizon where a retailer jointly optimizes assortment planning, pricing, and inventory decisions for a product line of substitutable products, in a market with multiple customer segments. Focusing on fast-moving retail products, the problem is modeled as a mixed-integer nonlinear program where demand is driven by exogenous consumer reservation prices and endogenous assortment and pricing decisions. A mixed-integer linear reformulation is developed, which enables an exact solution to large problem instances (with up to a hundred products) in manageable times. Empirical evidence is provided in support of a classical deterministic maximum-surplus consumer choice model. Computational results and managerial insights are discussed. We find that the optimal assortment and pricing decisions do not exhibit a simple, intuitive structure that could be analytically characterized, which reflects the usefulness of optimization approaches to numerically identify attractive trade-offs for the decision-maker. We also observe that suboptimal inventory policies significantly decrease profitability, which highlights the importance of integrated decision-making. Finally, we find that the seasonality of consumer preferences and supply costs present an opportunity for boosting the profit via higher inventory levels and wider assortments. © 2015 Elsevier Ltd.",Assortment planning; Dynamic lot-sizing; Mathematical programming; Optimization modeling; Pricing and inventory,Commerce; Decision making; Economic and social effects; Integer programming; Nonlinear programming; Profitability; Sales; Assortment planning; Customers segments; Dynamic lot-sizing; Inventory decisions; Multi-period; Optimisations; Optimization models; Pricing and inventory; Pricing decision; Productline; Costs,Article,Final,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84924691863&doi=10.1016%2Fj.omega.2015.02.002&partnerID=40&md5=8dd9d9dbb73a2d16a1f2f938610d8a7a,scopus_export_Mar 1-2026_ca3bc159-43eb-4cb5-bfaf-84be71ab771b.csv,0,
2-s2.0-0033235406,10.1287/mksc.18.3.208,Accounting profits versus marketing profits: A relevant metric for category management,1999,Marketing Science,"Chen, Y.; Hess, J.D.; Wilcox, R.T.; Zhang, Z.J.","Leonard N. Stern School of Business, New York, NY, United States; Gies College of Business, Champaign, IL, United States; Grad. Sch. of Indust. Administration, Tepper School of Business, Pittsburgh, PA, United States; Graduate School of Business, Columbia University, New York, NY, United States","Chen, Yuxin, Leonard N. Stern School of Business, New York, NY, United States; Hess, James D., Gies College of Business, Champaign, IL, United States; Wilcox, Ronald T., Grad. Sch. of Indust. Administration, Tepper School of Business, Pittsburgh, PA, United States; Zhang, Z. John, Graduate School of Business, Columbia University, New York, NY, United States","Retailers have long recognized that some categories are more important than others in consumers' store choice decisions. The overall profitability of a store requires careful category-level merchandising decisions to draw the most desirable consumers into the store. However, the traditional accounting measure of category profits offers imperfect help making these decisions since it does not take into account the effect of merchandising one category on the profits of other categories in the store. A profit measure which takes into account these important cross-effects is the most relevant performance metric for category management. We call this new construct marketing profits, as it focuses on consumers and their store choice behavior, and is particularly pertinent to the calculus of marketing decision making. Despite its practical importance, the total impact of merchandising a specific product category on a store's profitability is difficult to measure, and in practice managers can only rely on intuitive calibration of marketing profits in making many retailing decisions. The difficulty arises from the fact that to directly observe the marketing profits of a category, one has to know how consumer store shopping behavior would change and hence what a store's profit would be if the category were to disappear from the consumers' store choice decision. Furthermore, it is difficult to devise a demand structure that is rich enough to capture bundled purchases on the part of consumers in a reasonable manner, but is simple enough to allow estimation on the basis of commonly observed variables. These two technical difficulties explain the conspicuous lack of research that systematically examines how to quantify what we call marketing profits. This paper builds a formal model of marketing profits. We start by formalizing shopper types, and then establish the implied relationship between accounting profits and marketing profits by examining shelf space allocations by a retailer. On the consumer side, we assume that some consumers pay attention to the assortments offered by different retailers when making their store choice decisions. This assumption allows us to establish the demand-side linkage between accounting profits and marketing profits. Consumer store choice decisions put pressure on the retailer to carry wide assortments in categories which are particularly critical to the store choice decisions of the most desirable consumers. Thus, the allocation of shelf space gives rise to the supply-side linkage between accounting profits and marketing profits. By examining the outcome of the supermarket's shelf space decision, we can merge these two linkages and determine the exact relationship between the accounting and marketing profits. Central to our theoretical structure is our assumption on retailers' shelf space allocation decisions. Because of the well-documented pressure that retailers face in making shelf space allocation decisions, we assume that they are acting in a reasonably close-to-optimal fashion by using either an automated planogram or simply by trial-and-error. Optimization requires that returns on shelf space allocated to any category in the store must be identical on the margin and equate to the shadow price of shelf space. It is this outcome of shelf-space allocation that allows us to uncover the implied relationship between accounting and marketing profits. This theoretical structure allows us to construct a measure of marketing profits which can be estimated with data commonly available to retailers. We demonstrate this measurement technique by using publicly available data, provided by Marsh Supermarkets, and show how marketing profits can improve merchandising decisions. In our particular application, we find many categories where the marketing profits of a category are very different from the traditional accounting profits. Further, we find that using this new marketing profits metric to make category-level feature advertising space decisions significantly improves the profitability of the retailer. The paper concludes by discussing how our measure of marketing profits might be improved by additional research, particularly if the researcher has data across many stores.",Category management; Management decision models; Retailing,,Article,Final,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0033235406&doi=10.1287%2Fmksc.18.3.208&partnerID=40&md5=ca7c5973485766805f3997d8c6fac63d,scopus_export_Mar 1-2026_ca3bc159-43eb-4cb5-bfaf-84be71ab771b.csv,0,
2-s2.0-33846936772,10.1111/j.1745-4557.1983.tb00761.x,MODEL AND MEASUREMENT METHODOLOGY FOR THE ANALYSIS OF CONSUMER CHOICE OF FOOD PRODUCTS,1983,Journal of Food Quality,"Wierenga, B.","Graduate School of Management, Delft, Netherlands","Wierenga, Berend, Graduate School of Management, Delft, Netherlands","The consumer can be conceived as an imperfect problem solver. Consumer behavior with respect to food products is purposive, but the consumer is bounded by limitations of information, cognitive skills, memory and time. From this starting point, this paper develops a model of the process by which a consumer chooses a particular item (e.g. type of meat, vegetable, soft drink) from a class of food products. Different attributes of the product may play a role: hedonic, instrumental and symbolic attributes. In the model the overall preference for a product is the result of (i) the relevant perceptual dimensions and the beliefs of the consumer with respect to the performance of the product on the relevant dimensions (ii) the way the consumer trades off these product dimensions against each other (preference functions). The paper then discusses methods to measure the various variables of the model and to analyse the factors that determine preferences in a specific product class. Sensory profile construction, multidimensional scaling and factor analysis can be used to measure product perceptions. Also preference estimation methods and the data requirements for these techniques are discussed. A demonstration of the approach is provided for the choice of vegetables in The Netherlands. The paper ends with a brief discussion about the practical use of the insights obtained with this model and some speculation about research to make further progress in understanding the factors determining consumer choice of food products. Copyright © 1983, Wiley Blackwell. All rights reserved",,,Article,Final,All Open Access; Bronze Open Access,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33846936772&doi=10.1111%2Fj.1745-4557.1983.tb00761.x&partnerID=40&md5=f4dea5289210dd1a48375a66192cf3ac,scopus_export_Mar 1-2026_ca3bc159-43eb-4cb5-bfaf-84be71ab771b.csv,0,
2-s2.0-85177187248,10.1016/j.appet.2023.107119,Essential shape: The role of essentialist beliefs in preferences for misshapen produce,2024,Appetite,"Gomez, P.; Minton, E.; Spielmann, N.","NEOMA Business School, Mont-Saint-Aignan, Normandie, France; University of Wyoming, Laramie, WY, United States","Gomez, Pierrick, NEOMA Business School, Mont-Saint-Aignan, Normandie, France; Minton, Elizabeth A., University of Wyoming, Laramie, WY, United States; Spielmann, Nathalie E., NEOMA Business School, Mont-Saint-Aignan, Normandie, France","Understanding the reasons behind consumer rejection of misshapen produce is important because of its dramatic consequences on food waste. Drawing on psychological essentialism, we conduct seven studies to investigate the role of produce shape-related essentialist beliefs (i.e., the belief that produce shape is determined by an underlying and unobservable essence) in consumers’ evaluations of misshapen produce. Our findings show that essentialist beliefs about produce shape are divided into four distinct dimensions (i.e., biological basis, discreteness, informativeness, and immutability). We find that endorsing discreteness beliefs decreases preferences for misshapen produce. Immutability beliefs produce the opposite effect, whereas informativeness and biological basis have little to no effect. These effects operate through typicality judgments. These findings suggest that considering essentialist beliefs have the potential to help enhance the acceptance of edible albeit misshapen produce. © 2023",Aesthetics; Essentialist beliefs; Food waste; Misshapen produce; Typicality judgments,adult; article; consumer; decision making; esthetics; female; food waste; human; male; food; waste disposal; Food; Humans; Refuse Disposal,Article,Final,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85177187248&doi=10.1016%2Fj.appet.2023.107119&partnerID=40&md5=5aac1598a4f98d50805c5060ab0f5415,scopus_export_Mar 1-2026_ca3bc159-43eb-4cb5-bfaf-84be71ab771b.csv,1,
2-s2.0-85067202468,10.1016/j.inffus.2019.06.002,Scalable entity resolution for Web product descriptions,2020,Information Fusion,"Vandic, D.; Frasincar, F.; Kaymak, U.; Riezebos, M.","Erasmus Universiteit Rotterdam, Rotterdam, Zuid-Holland, Netherlands; Technische Universiteit Eindhoven, Eindhoven, Noord-Brabant, Netherlands","Vandic, Damir, Erasmus Universiteit Rotterdam, Rotterdam, Zuid-Holland, Netherlands; Frasincar, Flavius, Erasmus Universiteit Rotterdam, Rotterdam, Zuid-Holland, Netherlands; Kaymak, Uzay, Technische Universiteit Eindhoven, Eindhoven, Noord-Brabant, Netherlands; Riezebos, Mark, Erasmus Universiteit Rotterdam, Rotterdam, Zuid-Holland, Netherlands","Consumers are increasingly using the Web to find product information and make online purchases. This is reflected by the ongoing growth of worldwide e-commerce sales figures. Entity resolution is an important task that supports many services that have arisen from this growth, such as Web shop aggregators. In this paper, we propose a scalable framework for multi-source entity resolution. Our blocking approach employs model words to produce blocks that make our solution highly effective and efficient for the considered domains. An in-depth evaluation, performed using millions of experiments and three large datasets (on consumer electronics and software products), shows that our model words-based approach outperforms other approaches in most cases. Furthermore, we also evaluate our approach with an imperfect similarity function and find that model words-based blocking schemes provide the best blocks with respect to the F<inf>1</inf>-measure. © 2019 Elsevier B.V.",Blocking schemes; E-commerce; Entity resolution; Web shop aggregators,Large dataset; Blocking schemes; Depth evaluations; Entity resolutions; Product descriptions; Product information; Similarity functions; Software products; Web shop; Electronic commerce,Article,Final,All Open Access; Bronze Open Access; Green Accepted Open Access; Green Final Open Access; Green Open Access,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067202468&doi=10.1016%2Fj.inffus.2019.06.002&partnerID=40&md5=2629224f3c36cba7aff3cb8cfc05970c,scopus_export_Mar 1-2026_ca3bc159-43eb-4cb5-bfaf-84be71ab771b.csv,0,
2-s2.0-85139244015,10.1111/1477-9552.12516,"New plant engineering techniques, R&D investment and international trade",2023,Journal of Agricultural Economics,"Marette, S.; Disdier, A.-C.; Bodnar, A.; Beghin, J.","Paris-Saclay Applied Economics, Palaiseau, Ile-de-France, France; Ecole d’Économie de Paris, Paris, Ile-de-France, France; United States Department of Agriculture, Washington, D.C., United States; Yeutter Institute of International Trade and Finance and Department of Agricultural Economics, University of Nebraska–Lincoln, Lincoln, NE, United States","Marette, Stephan, Paris-Saclay Applied Economics, Palaiseau, Ile-de-France, France; Disdier, Anne Célia, Ecole d’Économie de Paris, Paris, Ile-de-France, France; Bodnar, Anastasia, United States Department of Agriculture, Washington, D.C., United States; Beghin, John C., Yeutter Institute of International Trade and Finance and Department of Agricultural Economics, University of Nebraska–Lincoln, Lincoln, NE, United States","New plant engineering techniques (NPETs) may significantly improve both production and quality of foods. Some consumers and regulators around the world might be reluctant to accept such products and the global market penetration of these products may remain low. We develop a parsimonious economic model for R&D investment in food innovations to identify conditions under which NPET technology emerges in the context of international trade. The framework integrates consumers' willingness to pay (WTP) for the new food, the uncertainty of R&D processes, the associated regulatory cost of approval, and the competition between domestic and foreign products. With generic applicability, the model enables the quantitative analysis of new foods that could be introduced in markets and then traded across borders. We apply the framework to a hypothetical case of apples improved with NPETs. Simulation results suggest that import bans and high values of sunk cost can reduce R&D investment in NPETs to suboptimal levels. © 2022 The Authors. Journal of Agricultural Economics published by John Wiley & Sons Ltd on behalf of Agricultural Economics Society. This article has been contributed to by U.S. Government employees and their work is in the public domain in the USA.",apple; food innovation; genome editing; new plant engineering techniques; trade; willingness to pay,competition (economics); food production; food quality; genetic engineering; import; innovation; international trade; investment; quantitative analysis; research and development; willingness to pay,Article,Final,All Open Access; Green Accepted Open Access; Green Open Access; Hybrid Gold Open Access,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139244015&doi=10.1111%2F1477-9552.12516&partnerID=40&md5=b5b590c270c6533f671ab8106f0135ed,scopus_export_Mar 1-2026_ca3bc159-43eb-4cb5-bfaf-84be71ab771b.csv,0,
