,food waste,suboptimal food,sustainability,consumer choice,anthropomorphism,ugly food,suboptimal products,purchase intention,suboptimal food products,imperfect produce,aesthetics,sustainable consumption,misshapen produce,wtp,quality perception,suboptimal produce,environmental concern,suboptimal foods,consumer behaviour,retail,consumer food waste,imperfect food,abnormal shape,ugly produce,food security
food waste,0,13,4,7,3,4,6,4,4,3,3,3,2,3,2,1,2,2,3,2,2,2,1,1,0
suboptimal food,13,0,1,3,0,1,0,2,0,0,0,0,0,1,2,0,1,0,1,0,0,0,1,0,0
sustainability,4,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
consumer choice,7,3,0,0,1,0,3,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0
anthropomorphism,3,0,0,1,0,3,0,2,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0
ugly food,4,1,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
suboptimal products,6,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
purchase intention,4,2,0,0,2,2,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0
suboptimal food products,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
imperfect produce,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
aesthetics,3,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
sustainable consumption,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
misshapen produce,2,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
wtp,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
quality perception,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
suboptimal produce,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
environmental concern,2,1,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
suboptimal foods,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
consumer behaviour,3,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
retail,2,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
consumer food waste,2,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
imperfect food,2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
abnormal shape,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
ugly produce,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
food security,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
